id,sub_organ_code,ownership_percent,organ_name,type,symbol
22252752,VANDONPLASTIC,0.2069,Công ty Cổ phần Nhựa Vân Đồn,công ty liên kết,VNP
22252753,VIETTHAIPC,0.2751,Công ty TNHH Liên Doanh Việt Thái Plastchem,công ty liên kết,VNP
22252724,ANGKORDP,1.0,"Angkor Dairy Products Co., Ltd",công ty con,VNM
22252725,DRIFTW,1.0,Driftwood Dairy Holdings Corporation,công ty con,VNM
22252726,LAOJAGRO,0.8732,"Lao-jagro Development Xiengkhouang Co.,ltd",công ty con,VNM
22252727,TNTHCM,1.0,Công ty TNHH Một Thành Viên Bò Sữa Thống Nhất Thanh Hoá,công ty con,VNM
22252728,VIETSUGAR,0.65,Công ty Cổ phần Đường Việt Nam,công ty con,VNM
22252729,VILICO,0.68937,Tổng Công ty Chăn nuôi Việt Nam - Công ty Cổ phần,công ty con,VNM
22252730,VNMC,1.0,Công ty TNHH MTV Bò Sữa Việt Nam,công ty con,VNM
22252731,APIS,0.2,Công Ty Cổ Phần Apis,công ty liên kết,VNM
22252732,ASIACOCONUT,0.2496,Công ty CP Chế Biến Dừa Á Châu,công ty liên kết,VNM
22252733,F000001208,0.1355,Miraka Holding Limited,công ty liên kết,VNM
22252681,VNLC,1.0,Công ty TNHH MTV Logistics Vinalink (Cambodia),công ty con,VNL
22252684,12552,0.0915,Công ty TNHH Vận Tải Việt Nhật,công ty liên kết,VNL
22252685,FREIGHTCONS,0.3,CÔNG TY TNHH DỊCH VỤ ĐẠI LÝ VẬN CHUYỂN,công ty liên kết,VNL
22252686,LINKCARGO,0.3,CÔNG TY TNHH ĐIỀU HÀNH VẬN CHUYỂN HÀNG HÓA LIÊN KẾT,công ty liên kết,VNL
22252687,LOGISKT,0.5652,Công ty Cổ Phần Logistics Kim Thành,công ty liên kết,VNL
22252688,VINALINKTRANS,0.4,CÔNG TY CỔ PHẦN VẬN CHUYỂN VINALINK,công ty liên kết,VNL
22252682,VINATRANSDN,0.143,Công ty Cổ phần Giao nhận Vận tải Miền Trung,công ty liên kết,VNL
22252683,VNT,0.0,Công ty Cổ phần Giao nhận Vận tải Ngoại Thương,công ty liên kết,VNL
22252649,LAFICO,0.3214,Công ty Cổ phần Lâm Công nghiệp Lâm Đồng,công ty con,VNG
22252650,NGOCLANHC,1.0,Công Ty TNHH Chăm Sóc Sức Khỏe Ngọc Lan,công ty con,VNG
22252651,NGOCLANTOUR,1.0,Công ty Cổ phần Du lịch Ngọc Lan,công ty con,VNG
22252652,THANHBINHTOUR,0.748,Công ty Cổ phần Du lịch Thanh Bình,công ty con,VNG
22252653,TLTC,1.0,Công ty TNHH Du lịch TTC,công ty con,VNG
22252654,TTCDL,1.0,Công ty TNHH Thành Thành Công Đà Lạt,công ty con,VNG
22252655,TTCLD,1.0,Công ty TNHH Du Lịch Thành Thành Công Lâm Đồng,công ty con,VNG
22252656,TTCTOURIST,1.0,Công ty TNHH Du lịch TTC,công ty con,VNG
22252657,TTCTRAVEL,1.0,Công ty TNHH Lữ Hành Quốc Tế Ttc,công ty con,VNG
22252658,BENTRETOUR,0.2006,Công ty Cổ Phần Du Lịch Bến Tre,công ty liên kết,VNG
22252659,TACUTOUR,0.4012,CÔNG TY CP DU LỊCH NÚI  TÀ CÚ,công ty liên kết,VNG
22252660,VNGANGKOR,0.49,Công ty Cổ Phần Du Lịch Vinagolf Angkor,công ty liên kết,VNG
22252622,VSFS,1.0,Công ty TNHH Hậu Cần Toàn Cầu Sfs Việt Nam,công ty con,VNF
22252623,VVA,0.9,Công ty TNHH Dịch Vụ Hàng Không Véc Tơ Quốc Tế,công ty con,VNF
22252624,0201641148,0.2133,Công ty Cổ Phần Cảng Mipec,công ty liên kết,VNF
