date,nav_per_unit,short_name
2023-10-19,62595.61,DCDS
2023-10-20,61386.46,DCDS
2023-10-23,62650.81,DCDS
2023-10-24,61589.86,DCDS
2023-10-25,62281.14,DCDS
2023-10-26,61927.15,DCDS
2023-10-27,59074.37,DCDS
2023-10-30,59744.51,DCDS
2023-10-31,57815.76,DCDS
2023-11-01,55978.07,DCDS
2023-11-02,56915.99,DCDS
2023-11-03,59442.67,DCDS
2023-11-06,59560.82,DCDS
2023-11-07,60310.92,DCDS
2023-11-08,60058.31,DCDS
2023-11-09,62675.17,DCDS
2023-11-10,62988.83,DCDS
2023-11-13,62523.5,DCDS
2023-11-14,62800.24,DCDS
2023-11-15,63487.29,DCDS
2023-11-16,63652.86,DCDS
2023-11-17,64203.91,DCDS
2023-11-20,63103.12,DCDS
2023-11-21,63377.96,DCDS
2023-11-22,64161.12,DCDS
2023-11-23,64647.0,DCDS
2023-11-24,62163.5,DCDS
2023-11-27,63016.36,DCDS
2023-11-28,62106.29,DCDS
2023-11-29,62533.01,DCDS
2023-11-30,63346.38,DCDS
2023-12-01,63068.47,DCDS
2023-12-04,63442.11,DCDS
2023-12-05,64978.34,DCDS
2023-12-06,64811.58,DCDS
2023-12-07,65503.22,DCDS
2023-12-08,64736.32,DCDS
2023-12-11,64743.65,DCDS
2023-12-12,64685.75,DCDS
2023-12-13,64972.68,DCDS
2023-12-14,63823.48,DCDS
2023-12-15,63506.86,DCDS
2023-12-18,63339.91,DCDS
2023-12-19,62835.58,DCDS
2023-12-20,63507.85,DCDS
2023-12-21,63916.1,DCDS
2023-12-22,64163.5,DCDS
2023-12-25,64251.39,DCDS
2023-12-26,65210.06,DCDS
2023-12-27,65553.58,DCDS
2023-12-28,65500.1,DCDS
2023-12-29,65607.01,DCDS
2024-01-02,65718.66,DCDS
2024-01-03,65216.48,DCDS
2024-01-04,65931.49,DCDS
2024-01-05,66017.21,DCDS
2024-01-08,66247.04,DCDS
2024-01-09,66316.91,DCDS
2024-01-10,66108.72,DCDS
2024-01-11,65541.99,DCDS
2024-01-12,65682.88,DCDS
2024-01-15,65140.63,DCDS
2024-01-16,64994.52,DCDS
2024-01-17,65899.04,DCDS
2024-01-18,65945.1,DCDS
2024-01-19,66368.82,DCDS
2024-01-22,66762.98,DCDS
2024-01-23,66885.6,DCDS
2024-01-24,66766.83,DCDS
2024-01-25,66412.4,DCDS
2024-01-26,66546.0,DCDS
2024-01-29,66904.9,DCDS
2024-01-30,66926.17,DCDS
2024-01-31,67463.59,DCDS
2024-02-01,66785.13,DCDS
2024-02-02,67721.91,DCDS
2024-02-05,67985.36,DCDS
2024-02-06,68805.06,DCDS
